Event,plot,grid,date,sample_name,Na_mgL_Porewater_average,Na_mgL_Porewater_stdev,K_mgL_Porewater_average,K_mgL_Porewater_stdev,Ca_mgL_Porewater_average,Ca_mgL_Porewater_stdev,Mg_mgL_Porewater_average,Mg_mgL_Porewater_stdev,Al_mgL_Porewater_average,Al_mgL_Porewater_stdev,S_mgL_Porewater_average,S_mgL_Porewater_stdev,Fe_mgL_Porewater_average,Fe_mgL_Porewater_stdev,P_mgL_Porewater_average,P_mgL_Porewater_stdev,Na_flag,K_flag,Ca_flag,Mg_flag,Al_flag,S_flag,Fe_flag,P_flag
TMP,Freshwater,POOL,2022-06-23,TMP_FW_POOL_T3,1,0.03,7.06,0.03,2.56,0.01,1.72,0.01,0.66,0,2.38,0.01,0.2,0,0.2,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-06-23,TMP_SW_POOL_T3,1142.77,3.2,42.56,0.13,141.64,0.17,120.73,0.33,7.7,0.02,127.39,0.14,0.4,0.03,0.4,0.02,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-06-24,TMP_FW_POOL_T4,2,0.04,7.02,0.09,2.83,0.01,1.68,0.01,1.24,0.01,1.57,0.04,0.4,0,0.4,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-06-24,TMP_C_POOL_T4,3.33,0.18,5.94,0.05,2.5,0.02,0.82,0,2.21,0.01,0.89,0.07,0.67,0,0.67,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-06-24,TMP_SW_POOL_T4,901.88,14.07,33.42,0.23,102.21,0.85,81.09,0.36,4.62,0.34,99.99,0.76,1.13,0.15,0.4,3.3,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-09-12,TMP_C_POOL_20220912,2,0.17,4.44,0.04,1.57,0,0.67,0.01,1.41,0,0.91,0.01,0.4,0.01,0.4,0.02,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-09-12,TMP_FW_POOL_20220912,2,0.12,11.49,0.03,2.27,0,1.42,0.01,1.25,0.01,0.84,0.02,0.4,0,0.4,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-09-12,TMP_SW_POOL_20220912,82.46,2.01,7.99,0.21,4.26,0.21,2.69,0.36,2.6,0.15,8.47,0.21,1,0.47,0.5,0.03,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-10-19,TMP_C_POOL_20221019,2.5,0.23,4.16,0.04,1.61,0.01,0.65,0,1.6,0.01,0.7,0.04,0.5,0.01,0.5,0.02,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-10-19,TMP_FW_POOL_20221019,3.33,0.45,9.66,0.11,2.5,0.02,1.48,0.03,2,0.02,1.13,0.03,0.67,0.01,0.67,0.02,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-10-19,TMP_SW_POOL_20221019,141.87,6.28,7.16,0.97,4.31,1.32,4.13,1.84,2.68,0.82,19.01,6.81,4.38,3.59,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2023-02-02,TMP_C_POOL_20230202,2,0.5,3.76,0.06,1.92,0.01,0.72,0.01,1.35,0.01,0.83,0.07,0.4,0,0.4,0.02,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2023-02-02,TMP_FW_POOL_20230202,2,0.25,5.57,0.03,2.35,0.01,1.44,0.01,1.21,0.01,1.33,0.03,0.4,0.01,0.4,0.02,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2023-02-02,TMP_SW_POOL_20230202,187.22,26.83,6.12,0.38,4.33,0.87,4.62,1.06,3.92,0.49,14.99,1.82,5.75,1.97,0.4,0.11,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-06-22,TMP_SW_POOL_T2,1278.92,8.31,44.68,0.06,128.32,0.72,123.85,0.11,7.98,0.2,151.87,0.71,1.2,0.7,0.4,0.06,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-06-22,TMP_FW_POOL_T2,1.43,0.09,6.84,0.01,2.44,0.01,1.47,0.01,0.87,0.01,2.84,0.04,0.29,0,0.29,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-05-23,TMP_C_POOL_20220523,0.56,0.04,2.71,0.04,1.56,0.01,0.76,0,0.59,0,0.55,0.01,0.11,0,0.11,0,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-06-13,TMP_C_POOL_20220613,1.25,0.39,3.87,0.03,2.01,0.01,0.9,0.01,0.85,0,0.74,0.05,0.25,0,0.25,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-08-08,TMP_C_POOL_20220808,3.33,3.69,5.77,0.11,2.68,0.02,0.81,0.02,2.12,0.03,0.64,0.02,0.67,0,0.67,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2023-04-17,TMP_C_POOL_20230417,2,0.9,5.25,0.03,2.89,0.02,1.15,0,1.27,0.01,0.85,0.03,0.4,0,0.4,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2022-05-15,TMP_C_POOL_20220515,3.33,0.23,5.35,0.09,2.84,0.01,0.84,0.01,2,0.02,0.65,0.03,0.67,0,0.67,0.03,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Control,POOL,2023-05-23,TMP_C_POOL_20230523,0.56,0.03,5.86,0.04,2.1,0.01,1.68,0,0.44,0,0.89,0.01,0.11,0,0.11,0,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-06-20,TMP_FW_POOL_T0,1,0.07,21.59,0.04,5.08,0.03,4.41,0.01,0.6,0,0.64,0.02,0.2,0,0.2,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-06-22,TMP_FW_POOL_T1,0.83,0.03,7.56,0.04,1.92,0.01,1.37,0.01,0.53,0.01,2.22,0.02,0.17,0,0.17,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-06-13,TMP_FW_POOL_20220613,1.25,0.12,6.25,0.01,2.29,0.01,1.42,0.01,0.78,0.01,0.49,0.01,0.25,0,0.25,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2022-08-08,TMP_FW_POOL_20220808,3.33,8.1,7.59,0.07,2.79,0.01,1.17,0,2,0.01,0.65,0.02,0.67,0,0.67,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2023-04-17,TMP_FW_POOL_20230417,2,1.23,6.83,0.05,3.03,0,1.87,0,1.19,0.01,1.3,0.06,0.4,0,0.4,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Freshwater,POOL,2023-05-15,TMP_FW_POOL_20230515,3.33,11.43,7.32,0.12,3.19,0.01,1.69,0.02,2,0.03,1.04,0.02,0.67,0.01,0.67,0.01,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-05-23,TMP_SW_POOL_20220523,44.27,4.98,4.81,0.6,2.35,0.37,2.13,0.35,0.7,0.03,1.08,0.27,0.57,0.28,0.11,0.03,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-06-22,TMP_SW_POOL_T1,765.07,17.6,37.9,0.76,85.9,0.21,72.49,0.46,2.53,0.02,83.69,0.65,0.4,0.19,0.4,0.08,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-06-13,TMP_SW_POOL_20220613,162.18,12.24,9.62,0.9,2.35,0.25,1.02,0.29,2,0.04,0.67,0.29,0.67,0.05,0.67,0.03,NA,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2022-08-08,TMP_SW_POOL_20220808,186.86,9.04,8.95,0.09,6.93,0.14,5.3,0.47,1.77,0.04,16.71,1.1,0.6,0.18,0.33,0.19,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2023-05-15,TMP_SW_POOL_20230515,199.4,10.33,10.63,0.96,2.64,0.51,2.86,1.79,2.34,0.28,2.37,0.51,1.4,1.16,0.67,0.1,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,Saltwater,POOL,2023-04-17,TMP_SW_POOL_20230417,372.33,19.7,15.95,4.35,5.24,0.71,7.44,1.55,2.16,0.03,3.88,0.35,1.36,0.02,0.4,0.18,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
